ERP_Code,Specs,Product_Code,Name,Level,Material,Surface_Treatment,Remark
07.0100.00001,M10x35,GB12,圆头方颈螺栓,4.8级,碳钢,镀锌等,
07.0101.00001,M6x12,GB16674.1,法兰面螺栓,8.8级,碳钢,镀锌等,
07.0101.00002,M6x14,GB16674.1,法兰面螺栓,8.8级,碳钢,镀锌等,
07.0102.00001,M6x60,GB22795,膨胀螺栓NP,,304,钝化,内迫型NP
07.0102.00002,M12x50,GB22795,膨胀螺栓NP,,碳钢,达克罗,内迫型NP
07.0102.00003,M12x50,GB22795,膨胀螺栓NP,,碳钢,镀锌等,内迫型NP
07.0102.00004,M16x60,GB22795,膨胀螺栓NP,,碳钢,镀锌等,内迫型NP
07.0103.00001,M8x100,GB22795,膨胀螺栓STG,,碳钢,镀锌等,双套管型STG
07.0103.00002,M10x100,GB22795,膨胀螺栓STG,,碳钢,镀锌等,双套管型STG
07.0103.00003,M12x120,GB22795,膨胀螺栓STG,,碳钢,镀锌等,双套管型STG
07.0103.00004,M16x120,GB22795,膨胀螺栓STG,,碳钢,镀锌等,双套管型STG
07.0103.00005,M16x125,GB22795,膨胀螺栓STG,,碳钢,镀锌等,双套管型STG
07.0104.00001,M6x60,GB22795,膨胀螺栓TGQ,,304,钝化,套管加强型TGQ
07.0104.00002,M6x70,GB22795,膨胀螺栓TGQ,,304,钝化,套管加强型TGQ
07.0104.00003,M8x100,GB22795,膨胀螺栓TGQ,,304,钝化,套管加强型TGQ
07.0104.00004,M10x150,GB22795,膨胀螺栓TGQ,,304,钝化,套管加强型TGQ
07.0104.00005,M8x100,GB22795,膨胀螺栓TGQ,,碳钢,达克罗,套管加强型TGQ
07.0104.00006,M12x150,GB22795,膨胀螺栓TGQ,,碳钢,达克罗,套管加强型TGQ
07.0104.00007,M16x150,GB22795,膨胀螺栓TGQ,,碳钢,达克罗,套管加强型TGQ
07.0104.00008,M6x60,GB22795,膨胀螺栓TGQ,,碳钢,镀锌等,套管加强型TGQ
07.0104.00009,M6x65,GB22795,膨胀螺栓TGQ,,碳钢,镀锌等,套管加强型TGQ
07.0104.00010,M8x100,GB22795,膨胀螺栓TGQ,,碳钢,镀锌等,套管加强型TGQ
07.0104.00011,M8x150,GB22795,膨胀螺栓TGQ,,碳钢,镀锌等,套管加强型TGQ
07.0104.00012,M10x60,GB22795,膨胀螺栓TGQ,,碳钢,镀锌等,套管加强型TGQ
07.0104.00013,M10x90,GB22795,膨胀螺栓TGQ,,碳钢,镀锌等,套管加强型TGQ
